KODEPT,PT,tutup,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID,KETERANGAN VALID,BOBOT VERIFIKASI,KETERANGAN,BOBOT UNGGAH ,KETERANGAN,KLASTER
44002,Akademi Akuntansi Bandung,,6,5,1,10,10,8,0,3,1,1,4,0,0,0,10,0,0,6,0,0,29%,Belum Tervalidasi,46%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44132,Akademi Analis Kesehatan An Nasher Cirebon,,6,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,40%,Belum Terverifikasi,40%,Tidak Lengkap,Kuning
44133,Akademi Bahasa Asing Internasional Bandung,,6,0,0,10,0,0,2,3,0,0,0,0,0,0,3,0,0,3,0,0,0%,Tidak Ada,0%,Tidak Ada,71%,Tidak Lengkap,Merah
44186,Akademi Farmasi Al-Ishlah Cilegon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Hijau
44239,Akademi Farmasi Bumi Siliwangi,,6,6,6,9,9,9,1,3,3,3,2,2,2,0,2,2,2,6,1,1,60%,Belum Tervalidasi,60%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
44246,Akademi Farmasi Persada Sukabumi,,6,4,4,0,0,0,0,3,0,0,4,4,0,0,0,0,0,6,0,0,11%,Belum Tervalidasi,11%,Belum Terverifikasi,43%,Tidak Lengkap,Merah
44238,Akademi Farmasi YPF,,6,6,6,10,10,10,0,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
44075,Akademi Industri Tekstil Bandung,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
4001,Akademi Kebidahan Bhakti Asih Ciledug,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44137,Akademi Kebidanan Aisyiyah Serang,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44208,Akademi Kebidanan Al-Ikhlas Cisarua,,6,6,0,10,10,0,2,3,0,0,4,0,0,0,10,10,0,6,6,0,0%,Tidak Ada,91%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44130,Akademi Kebidanan Al-Ishlah Cilegon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44241,Akademi Kebidanan Annisa Jaya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44188,Akademi Kebidanan Ar-Rahmah Bandung,,6,6,0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,40%,Belum Terverifikasi,40%,Tidak Lengkap,Hijau
44129,Akademi Kebidanan Assyifa Tangerang,,6,6,1,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,3%,Belum Tervalidasi,26%,Belum Terverifikasi,26%,Tidak Lengkap,Merah
44211,Akademi Kebidanan Bakti Indonesia Bogor,,6,5,5,10,2,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,14%,Belum Tervalidasi,20%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
44228,Akademi Kebidanan Bandung,,6,6,6,10,10,10,5,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
44250,Akademi Kebidanan Bhakti Asih Ciledug,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44229,Akademi Kebidanan Bhakti Asih Cileduk,,6,1,0,8,8,0,0,0,0,0,0,0,0,1,7,7,0,1,1,0,0%,Tidak Ada,49%,Belum Terverifikasi,63%,Tidak Lengkap,Kuning
44198,Akademi Kebidanan Bhakti Mitra Husada,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44219,Akademi Kebidanan Bina Husada Serang,,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,31%,Tidak Lengkap,Merah
44127,Akademi Kebidanan Bina Husada Tangerang,,6,0,0,10,3,0,3,3,0,0,0,0,0,0,9,9,0,6,6,0,0%,Tidak Ada,51%,Belum Terverifikasi,97%,Tidak Lengkap,Merah
44204,Akademi Kebidanan Bunda Auni Bogor,,6,0,0,9,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,69%,Tidak Lengkap,Merah
44231,Akademi Kebidanan Cipta Daya Husada,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44197,Akademi Kebidanan Citama Raya Depok,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44244,Akademi Kebidanan Farmako Husada Al-Muchtari Bogor,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
44182,Akademi Kebidanan Gema Nusantara Bekasi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44225,Akademi Kebidanan Graha Husada Cirebon,,6,5,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,3%,Belum Tervalidasi,29%,Belum Terverifikasi,31%,Tidak Lengkap,Merah
44174,Akademi Kebidanan Isma Husada Cirebon,,6,6,2,10,10,9,8,2,2,2,0,0,0,0,4,4,0,6,6,1,40%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44134,Akademi Kebidanan Karya Bunda Husada,1,0,0,1,0,0,0,16,0,0,3,0,0,3,2,0,0,10,0,0,0,40%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Kuning
44192,Akademi Kebidanan La Tansa Mashiro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44224,Akademi Kebidanan Medica Obgin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44196,Akademi Kebidanan Prima Husada,,6,6,6,10,10,10,1,3,1,1,1,0,0,1,3,3,3,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44206,Akademi Kebidanan Prima Indonesia,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44223,Akademi Kebidanan Sayid Sabiq Indramayu,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44215,Akademi Kebidanan Sentra Bina Yudistira Tangerang,,6,1,1,10,6,6,7,3,2,2,4,4,0,0,3,0,0,6,0,0,26%,Belum Tervalidasi,26%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44199,Akademi Kebidanan Suka Wangi Bekasi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44170,Akademi Kebidanan Tri Dharma Husada Bandung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44248,Akademi Kebidanan Ummul Quro Al-Islami Bogor,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44226,Akademi Kebidanan Wijaya Husada,,6,0,0,10,0,0,3,3,0,0,3,0,0,0,2,2,0,6,0,0,0%,Tidak Ada,6%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning
44116,Akademi Kebidanan Yayasan Husada Madani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44207,Akademi Keperawatan Al-Ikhlas Cisarua,,6,0,0,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,29%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
44160,Akademi Keperawatan Buntet Pesantren,,6,6,6,10,10,10,0,3,3,3,4,3,3,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
44185,Akademi Keperawatan Dharma Husada Cirebon,,6,6,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,Belum Tervalidasi,40%,Belum Terverifikasi,40%,Tidak Lengkap,Merah
44143,Akademi Keperawatan Kebonjati,,6,5,0,10,2,0,1,3,0,0,0,0,0,0,4,3,0,6,0,0,0%,Tidak Ada,29%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
44230,Akademi Keperawatan RS Efarina,,6,6,6,10,10,6,1,3,3,2,0,0,0,0,3,3,3,6,6,4,60%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44172,Akademi Keperawatan Yatna Yuana Lebak,,6,4,3,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,23%,Belum Tervalidasi,26%,Belum Terverifikasi,31%,Tidak Lengkap,Merah
44152,Akademi Keperawatan YPIB Majalengka,,6,0,0,8,0,0,2,3,0,0,4,4,4,0,1,1,1,6,3,3,11%,Belum Tervalidasi,11%,Belum Terverifikasi,69%,Tidak Lengkap,Merah
46004,Akademi Komunitas Insan Tazakka,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
46001,Akademi Komunitas Multistrada,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
46003,Akademi Komunitas Presiden,,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,20%,Tidak Lengkap,Merah
46005,Akademi Komunitas Qurrota Ayun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
46002,Akademi Komunitas Toyota Indonesia,,6,6,6,6,6,6,1,3,3,3,4,4,0,0,4,4,0,6,6,6,60%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
44242,Akademi Manajemen Gunung Leuser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44064,Akademi Manajemen Informatika Dan Komputer Garut,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
