,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,10,,,,3,,,,,,,10,,,6,,,35,,35,,35,,,,
,,,,,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,% (VLD),,% (VER),,% (UNG),,,,
1,44228,Akademi Kebidanan Bandung,Kabupaten Bogor,Emma Hermawati Muhari,6,6,6,10,10,10,5,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Hijau,86
2,44093,Akademi Pariwisata Nasional Indonesia Bandung,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,6,3,3,3,3,3,3,0,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau,Kuning,129
3,42002,Institut Teknologi Nasional Bandung,Kota Bandung,Emma Hermawati Muhari,6,6,6,10,10,10,1,3,3,3,2,2,2,0,10,10,10,6,6,6,89%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Merah,224
4,42027,Institut Teknologi Petroleum Balongan,Kabupaten Indramayu,Dewi Kurniasih,6,6,6,10,10,10,5,3,3,3,4,4,4,1,3,3,3,6,6,6,100%,Sudah Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Hijau,Total,439
5,42005,Institut Teknologi Sains Bandung,Kabupaten Bekasi,Dewi Kurniasih,6,6,6,10,10,10,7,3,0,0,4,4,4,0,7,7,7,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,91%,Tidak Lengkap,Hijau,Kluster,%
6,45052,Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,Kota Bandung,Dewi Kurniasih,6,6,6,10,10,10,0,3,3,3,4,0,0,1,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Hijau,> 80%
7,45027,Politeknik Piksi Ganesha,Kota Bandung,Lisye Fitria,6,6,6,10,10,10,16,3,3,3,4,4,4,6,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,Kuning,>= 50% s.d. 80%
8,43191,Sekolah Tinggi Farmasi Indonesia,Kota Bandung,Nanah Sujanah,6,6,6,10,10,10,7,3,3,3,1,0,0,0,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,Merah,< 50%
9,43022,Sekolah Tinggi Ilmu Ekonomi Ekuitas,Kota Bandung,Lisye Fitria,6,6,6,10,10,10,6,3,3,3,4,2,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Pendataan Berdasarkan FASWIL,
10,43128,Sekolah Tinggi Ilmu Ekonomi Gema Widya Bangsa,Kabupaten Bandung,Meita Lukitawati Sujatna,6,6,6,10,10,10,0,3,3,3,1,0,0,1,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Emma Hermawati Muhari,49
